  Layer 0: freq=1.00, threshold=0.200
  Layer 1: freq=1.80, threshold=0.250
  Layer 2: freq=3.00, threshold=0.300
  Layer 3: freq=5.00, threshold=0.400
  Layer 4: freq=8.33, threshold=0.450
  Layer 5: freq=13.89, threshold=0.500
  Layer 6: freq=23.15, threshold=0.550
  Layer 7: freq=38.58, threshold=0.600
  ep |    tr_CE |   tr_RC |    tr_E |   val_CE |  val_RC |   spike |   best_v | step
 131 |   2.8861 |  0.9384 |  0.4198 |   2.8887 |  0.9382 |  0.4187 |   2.8887 | 8384
 132 |   2.8866 |  0.9333 |  0.4187 |   2.8898 |  0.9331 |  0.4160 |   2.8887 | 8448
 133 |   2.8917 |  0.9351 |  0.4179 |   2.8912 |  0.9349 |  0.4166 |   2.8887 | 8512
 134 |   2.8897 |  0.9392 |  0.4190 |   2.8893 |  0.9391 |  0.4173 |   2.8887 | 8576
 135 |   2.8925 |  0.9367 |  0.4188 |   2.8951 |  0.9365 |  0.4175 |   2.8887 | 8640
 136 |   2.8882 |  0.9411 |  0.4185 |   2.8881 |  0.9410 |  0.4177 |   2.8881 | 8704
 137 |   2.8939 |  0.9465 |  0.4200 |   2.8913 |  0.9465 |  0.4198 |   2.8881 | 8768
 138 |   2.8863 |  0.9389 |  0.4192 |   2.8883 |  0.9388 |  0.4175 |   2.8881 | 8832
 139 |   2.8869 |  0.9389 |  0.4197 |   2.8881 |  0.9388 |  0.4192 |   2.8881 | 8896
 140 |   2.8909 |  0.9450 |  0.4197 |   2.8919 |  0.9448 |  0.4177 |   2.8881 | 8960
 141 |   2.8869 |  0.9467 |  0.4180 |   2.8890 |  0.9465 |  0.4159 |   2.8881 | 9024
 142 |   2.8938 |  0.9446 |  0.4212 |   2.8945 |  0.9445 |  0.4202 |   2.8881 | 9088
 143 |   2.8881 |  0.9432 |  0.4190 |   2.8905 |  0.9431 |  0.4178 |   2.8881 | 9152
 144 |   2.8931 |  0.9437 |  0.4184 |   2.8964 |  0.9435 |  0.4172 |   2.8881 | 9216
 145 |   2.8839 |  0.9485 |  0.4183 |   2.8893 |  0.9483 |  0.4169 |   2.8881 | 9280
 146 |   2.8925 |  0.9441 |  0.4187 |   2.8897 |  0.9441 |  0.4175 |   2.8881 | 9344
 147 |   2.8869 |  0.9471 |  0.4202 |   2.8885 |  0.9469 |  0.4188 |   2.8881 | 9408
 148 |   2.8991 |  0.9477 |  0.4766 |   2.9038 |  0.9474 |  0.4768 |   2.8881 | 9472
 149 |   2.8877 |  0.9409 |  0.4211 |   2.8882 |  0.9406 |  0.4206 |   2.8881 | 9536
 150 |   2.8871 |  0.9350 |  0.4185 |   2.8898 |  0.9347 |  0.4173 |   2.8881 | 9600
 151 |   2.8898 |  0.9401 |  0.4230 |   2.8897 |  0.9400 |  0.4225 |   2.8881 | 9664
 152 |   2.9042 |  0.9418 |  0.4185 |   2.9078 |  0.9415 |  0.4170 |   2.8881 | 9728
 153 |   2.8852 |  0.9451 |  0.4185 |   2.8848 |  0.9449 |  0.4170 |   2.8848 | 9792
 154 |   2.8897 |  0.9500 |  0.4154 |   2.8908 |  0.9500 |  0.4144 |   2.8848 | 9856
 155 |   2.8841 |  0.9422 |  0.4132 |   2.8833 |  0.9420 |  0.4120 |   2.8833 | 9920
 156 |   2.8797 |  0.9417 |  0.4170 |   2.8811 |  0.9414 |  0.4160 |   2.8811 | 9984
 157 |   2.8800 |  0.9455 |  0.4161 |   2.8829 |  0.9452 |  0.4143 |   2.8811 | 10048
 158 |   2.8866 |  0.9437 |  0.4171 |   2.8902 |  0.9432 |  0.4142 |   2.8811 | 10112
 159 |   2.8878 |  0.9396 |  0.4188 |   2.8898 |  0.9392 |  0.4167 |   2.8811 | 10176
 160 |   2.8793 |  0.9444 |  0.4187 |   2.8801 |  0.9441 |  0.4170 |   2.8801 | 10240
 161 |   2.8867 |  0.9409 |  0.4146 |   2.8847 |  0.9407 |  0.4135 |   2.8801 | 10304
 162 |   2.9260 |  0.9442 |  0.4700 |   2.9230 |  0.9439 |  0.4682 |   2.8801 | 10368
 163 |   2.8817 |  0.9415 |  0.4183 |   2.8817 |  0.9414 |  0.4163 |   2.8801 | 10432
 164 |   2.8809 |  0.9440 |  0.4212 |   2.8838 |  0.9437 |  0.4209 |   2.8801 | 10496
 165 |   2.8819 |  0.9263 |  0.4074 |   2.8844 |  0.9259 |  0.4061 |   2.8801 | 10560
 166 |   2.8773 |  0.9374 |  0.4052 |   2.8795 |  0.9370 |  0.4040 |   2.8795 | 10624
 167 |   2.8723 |  0.9357 |  0.3943 |   2.8785 |  0.9353 |  0.3950 |   2.8785 | 10688
 168 |   2.8805 |  0.9379 |  0.4083 |   2.8800 |  0.9375 |  0.3972 |   2.8785 | 10752
 169 |   2.8799 |  0.9428 |  0.2796 |   2.8822 |  0.9425 |  0.2807 |   2.8785 | 10816
 170 |   2.8776 |  0.9434 |  0.2997 |   2.8800 |  0.9430 |  0.3008 |   2.8785 | 10880
 171 |   2.8771 |  0.9375 |  0.4269 |   2.8811 |  0.9372 |  0.4258 |   2.8785 | 10944
 172 |   2.8741 |  0.9459 |  0.4114 |   2.8777 |  0.9456 |  0.4103 |   2.8777 | 11008
 173 |   2.8899 |  0.9438 |  0.3640 |   2.8894 |  0.9436 |  0.3640 |   2.8777 | 11072
 174 |   2.8776 |  0.9481 |  0.3804 |   2.8796 |  0.9479 |  0.3795 |   2.8777 | 11136
 175 |   2.8764 |  0.9466 |  0.3788 |   2.8787 |  0.9463 |  0.3767 |   2.8777 | 11200
 176 |   2.8779 |  0.9453 |  0.3565 |   2.8818 |  0.9450 |  0.3587 |   2.8777 | 11264
 177 |   2.8776 |  0.9420 |  0.4068 |   2.8805 |  0.9419 |  0.4062 |   2.8777 | 11328
 178 |   2.8773 |  0.9467 |  0.2474 |   2.8803 |  0.9464 |  0.2487 |   2.8777 | 11392
 179 |   2.8765 |  0.9442 |  0.3290 |   2.8794 |  0.9439 |  0.3280 |   2.8777 | 11456
 180 |   2.8819 |  0.9447 |  0.3695 |   2.8833 |  0.9444 |  0.3724 |   2.8777 | 11520
 181 |   2.8772 |  0.9421 |  0.3005 |   2.8815 |  0.9417 |  0.3396 |   2.8777 | 11584
 182 |   2.8780 |  0.9418 |  0.3873 |   2.8793 |  0.9416 |  0.3868 |   2.8777 | 11648
 183 |   2.8769 |  0.9417 |  0.4165 |   2.8784 |  0.9416 |  0.4063 |   2.8777 | 11712
 184 |   2.8842 |  0.9478 |  0.3500 |   2.8851 |  0.9476 |  0.3467 |   2.8777 | 11776
 185 |   3.1125 |  0.8772 |  0.0000 |   3.1166 |  0.8771 |  0.0000 |   2.8777 | 11840
 186 |   2.9734 |  0.8856 |  0.1049 |   2.9834 |  0.8853 |  0.2458 |   2.8777 | 11904
 187 |   2.9519 |  0.8949 |  0.2726 |   2.9486 |  0.8947 |  0.2758 |   2.8777 | 11968
 188 |   2.9656 |  0.9006 |  0.2769 |   2.9663 |  0.9003 |  0.2786 |   2.8777 | 12032
 189 |   2.9307 |  0.9064 |  0.2731 |   2.9356 |  0.9060 |  0.2744 |   2.8777 | 12096
 190 |   2.9113 |  0.9072 |  0.1983 |   2.9159 |  0.9070 |  0.2005 |   2.8777 | 12160
 191 |   2.9017 |  0.9177 |  0.1269 |   2.9045 |  0.9172 |  0.1292 |   2.8777 | 12224
 192 |   2.8983 |  0.9160 |  0.1006 |   2.9081 |  0.9154 |  0.1071 |   2.8777 | 12288
 193 |   2.9001 |  0.9249 |  0.1159 |   2.8986 |  0.9247 |  0.1189 |   2.8777 | 12352
 194 |   2.9128 |  0.9287 |  0.3073 |   2.9145 |  0.9283 |  0.3217 |   2.8777 | 12416
 195 |   2.9004 |  0.9247 |  0.2058 |   2.9043 |  0.9244 |  0.1847 |   2.8777 | 12480
 196 |   2.8911 |  0.9287 |  0.2775 |   2.8957 |  0.9282 |  0.2803 |   2.8777 | 12544
 197 |   2.8956 |  0.9291 |  0.2816 |   2.8956 |  0.9288 |  0.2832 |   2.8777 | 12608
 198 |   2.8971 |  0.9408 |  0.2153 |   2.9024 |  0.9404 |  0.2161 |   2.8777 | 12672
 199 |   2.9162 |  0.9354 |  0.2417 |   2.9176 |  0.9351 |  0.2400 |   2.8777 | 12736
 200 |   2.8952 |  0.9398 |  0.2148 |   2.8980 |  0.9395 |  0.2157 |   2.8777 | 12800
{
  "metrics": {
    "best_val_ce": 2.877700289090474,
    "final_val_rc": 0.9395185137788454,
    "mean_spike_rate": 0.21573893229166666,
    "max_grad_l2": 970.6967297362868,
    "epochs": 200,
    "mode": "rfp_every_8_v03_wikitext",
    "corr_delta_pb_delta_ce": -0.1923445705016857,
    "rescue_step_fraction": 1.0
  },
  "vocab_size": 256,
  "ln_vocab": 5.545177444479562,
  "final_train_ce": 2.8952253721654415,
  "final_train_rc": 0.939829514361918,
  "final_train_energy": 0.21480846405029297,
  "val_batches_sha256": "e6abd99c3228270c87613766dba86a182a2cb937c544fbeb1c582cca1171afe2",
  "artifacts": {
    "epoch_log": "/home/alex1/Desktop/WFR-Memory-Test/experiments/08-wikitext-rfp/outputs/wikitext08_wikipush_epoch_20260402_175128.json",
    "epoch_csv": "/home/alex1/Desktop/WFR-Memory-Test/experiments/08-wikitext-rfp/outputs/wikitext08_wikipush_epochs_20260402_175128.csv",
    "manifest_json": "/home/alex1/Desktop/WFR-Memory-Test/experiments/08-wikitext-rfp/outputs/wikitext08_wikipush_manifest_20260402_175128.json",
    "vocab_meta": "/home/alex1/Desktop/WFR-Memory-Test/experiments/08-wikitext-rfp/outputs/wikitext08_vocab_meta.json"
  }
}
